original_ds,df,RiscoOriginal,RiscoTransformado,UtilOriginal,UtilTransformado,model
ds4,ds4_transf2_qi3.csv,0.99175,0.053703946,0.985645238,0.968919511,Logistic Regression
ds4,ds4_transf2_qi3.csv,0.99175,0.053703946,0.986547116,0.971066709,Logistic Regression
ds4,ds4_transf2_qi3.csv,0.99175,0.053703946,0.986547116,0.971066709,Logistic Regression
ds16,ds16_transf0_qi0.csv,0.9955,0.053077933,0.999370211,0.999685208,Logistic Regression
ds16,ds16_transf0_qi0.csv,0.9955,0.053077933,0.999370211,0.999685208,Logistic Regression
ds16,ds16_transf0_qi0.csv,0.9955,0.053077933,0.999370211,0.999069066,Logistic Regression
ds16,ds16_transf0_qi0.csv,0.9955,0.053077933,0.999370211,0.999069066,Logistic Regression
ds16,ds16_transf0_qi0.csv,0.9955,0.053077933,0.999370211,0.998444812,Logistic Regression
ds16,ds16_transf0_qi0.csv,0.9955,0.053077933,0.999370211,0.998444812,Logistic Regression
ds16,ds16_transf0_qi1.csv,0.9955,0.052619622,0.999370211,0.998742276,Logistic Regression
ds16,ds16_transf0_qi1.csv,0.9955,0.052619622,0.999370211,0.998742276,Logistic Regression
ds16,ds16_transf0_qi1.csv,0.9955,0.052619622,0.999370211,0.997806917,Logistic Regression
ds16,ds16_transf0_qi1.csv,0.9955,0.052619622,0.999370211,0.997806917,Logistic Regression
ds16,ds16_transf0_qi1.csv,0.9955,0.052619622,0.999370211,0.998750239,Logistic Regression
ds16,ds16_transf0_qi1.csv,0.9955,0.052619622,0.999370211,0.998750239,Logistic Regression
ds8,ds8_transf1_qi4.csv,0.050157219,0.002623711,0.698547783,0.668634187,Logistic Regression
ds8,ds8_transf1_qi4.csv,0.050157219,0.002623711,0.698547783,0.668634187,Logistic Regression
ds8,ds8_transf1_qi4.csv,0.050157219,0.002623711,0.83074029,0.831362572,Logistic Regression
ds8,ds8_transf1_qi4.csv,0.050157219,0.002623711,0.83074029,0.831362572,Logistic Regression
ds8,ds8_transf1_qi4.csv,0.050157219,0.002623711,0.830668527,0.831745785,Logistic Regression
ds8,ds8_transf1_qi4.csv,0.050157219,0.002623711,0.830668527,0.831745785,Logistic Regression
ds32,ds32_transf1_qi4.csv,0.965094621,0.049445201,0.699280848,0.696551899,Logistic Regression
